t0,tf,angulo,delay_real,delay_ideal,jitter
282471157,282475588,90,4431,4166.666666666667,264.33333333333303
282480349,282484756,90,4407,4166.666666666667,240.33333333333303
282487817,282492222,90,4405,4166.666666666667,238.33333333333303
282497004,282501409,90,4405,4166.666666666667,238.33333333333303
282504481,282508887,90,4406,4166.666666666667,239.33333333333303
282513676,282518112,90,4436,4166.666666666667,269.33333333333303
282521154,282525560,90,4406,4166.666666666667,239.33333333333303
282530326,282534732,90,4406,4166.666666666667,239.33333333333303
282537794,282542200,90,4406,4166.666666666667,239.33333333333303
282546985,282551391,90,4406,4166.666666666667,239.33333333333303
282554450,282558855,90,4405,4166.666666666667,238.33333333333303
282563653,282568059,90,4406,4166.666666666667,239.33333333333303
282571120,282575555,90,4435,4166.666666666667,268.33333333333303
282580312,282584717,90,4405,4166.666666666667,238.33333333333303
282587776,282592182,90,4406,4166.666666666667,239.33333333333303
282596969,282601404,90,4435,4166.666666666667,268.33333333333303
282604456,282608891,90,4435,4166.666666666667,268.33333333333303
282613623,282618033,90,4410,4166.666666666667,243.33333333333303
282621094,282625524,90,4430,4166.666666666667,263.33333333333303
282630283,282634688,90,4405,4166.666666666667,238.33333333333303
282637751,282642156,90,4405,4166.666666666667,238.33333333333303
282646945,282651350,90,4405,4166.666666666667,238.33333333333303
282654416,282658821,90,4405,4166.666666666667,238.33333333333303
282663612,282668021,90,4409,4166.666666666667,242.33333333333303
282671070,282675477,90,4407,4166.666666666667,240.33333333333303
282680268,282684705,90,4437,4166.666666666667,270.33333333333303
282687747,282692152,90,4405,4166.666666666667,238.33333333333303
282696927,282701332,90,4405,4166.666666666667,238.33333333333303
282713572,282717983,90,4411,4166.666666666667,244.33333333333303
282721062,282725467,90,4405,4166.666666666667,238.33333333333303
282730230,282734636,90,4406,4166.666666666667,239.33333333333303
282737723,282742129,90,4406,4166.666666666667,239.33333333333303
282746895,282751301,90,4406,4166.666666666667,239.33333333333303
