angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
120,207722210,207728018,5808,5555.555555555556,252.44444444444434,5576.660851370063,21.10529581450737
120,207738866,207744656,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207755563,207761365,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207772270,207778056,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207788960,207794757,5797,5555.555555555556,241.44444444444434,5565.660851370063,10.105295814507372
120,207805616,207811405,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207822325,207828127,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207838914,207844699,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207856153,207861959,5806,5555.555555555556,250.44444444444434,5574.660851370063,19.10529581450737
120,207872277,207878066,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207888967,207894765,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207905669,207911454,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207922302,207928104,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207939024,207944813,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207955595,207961393,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207972288,207978074,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207989048,207994850,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,208005640,208011441,5801,5555.555555555556,245.44444444444434,5569.660851370063,14.105295814507372
120,208022332,208028130,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,208038972,208044762,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,208055671,208061473,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,208072378,208078164,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
150,209089421,209096604,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209106059,209113238,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209122687,209129869,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209139381,209146564,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209156139,209163327,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,209172767,209179946,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209189403,209196587,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,209206115,209213298,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
