t0,tf,angulo,delay_real,delay_ideal,jitter
4182533,4186936,90,4403,4166.666666666667,236.33333333333303
4191713,4196128,90,4415,4166.666666666667,248.33333333333303
4199206,4203617,90,4411,4166.666666666667,244.33333333333303
4208382,4212788,90,4406,4166.666666666667,239.33333333333303
4215876,4220308,90,4432,4166.666666666667,265.33333333333303
4225053,4229459,90,4406,4166.666666666667,239.33333333333303
4232546,4236949,90,4403,4166.666666666667,236.33333333333303
4241721,4246137,90,4416,4166.666666666667,249.33333333333303
4249221,4253623,90,4402,4166.666666666667,235.33333333333303
4258399,4262805,90,4406,4166.666666666667,239.33333333333303
4265889,4270317,90,4428,4166.666666666667,261.33333333333303
4275064,4279470,90,4406,4166.666666666667,239.33333333333303
4282557,4286985,90,4428,4166.666666666667,261.33333333333303
4291746,4296182,90,4436,4166.666666666667,269.33333333333303
4299234,4303638,90,4404,4166.666666666667,237.33333333333303
4308411,4312817,90,4406,4166.666666666667,239.33333333333303
4315899,4320301,90,4402,4166.666666666667,235.33333333333303
4325078,4329484,90,4406,4166.666666666667,239.33333333333303
4332570,4336972,90,4402,4166.666666666667,235.33333333333303
4341762,4346169,90,4407,4166.666666666667,240.33333333333303
4349254,4353656,90,4402,4166.666666666667,235.33333333333303
4358425,4362831,90,4406,4166.666666666667,239.33333333333303
4365921,4370323,90,4402,4166.666666666667,235.33333333333303
4375099,4379504,90,4405,4166.666666666667,238.33333333333303
4382592,4386994,90,4402,4166.666666666667,235.33333333333303
4391779,4396185,90,4406,4166.666666666667,239.33333333333303
4399260,4403672,90,4412,4166.666666666667,245.33333333333303
4408443,4412849,90,4406,4166.666666666667,239.33333333333303
4415935,4420336,90,4401,4166.666666666667,234.33333333333303
4425109,4429515,90,4406,4166.666666666667,239.33333333333303
4432601,4437003,90,4402,4166.666666666667,235.33333333333303
4441785,4446192,90,4407,4166.666666666667,240.33333333333303
4458467,4462899,90,4432,4166.666666666667,265.33333333333303
4465949,4470355,90,4406,4166.666666666667,239.33333333333303
4475136,4479538,90,4402,4166.666666666667,235.33333333333303
4482615,4487052,90,4437,4166.666666666667,270.33333333333303
4491814,4496216,90,4402,4166.666666666667,235.33333333333303
4499287,4503702,90,4415,4166.666666666667,248.33333333333303
4508480,4512881,90,4401,4166.666666666667,234.33333333333303
4515959,4520365,90,4406,4166.666666666667,239.33333333333303
4525154,4529556,90,4402,4166.666666666667,235.33333333333303
4532628,4537035,90,4407,4166.666666666667,240.33333333333303
4541832,4546234,90,4402,4166.666666666667,235.33333333333303
4558497,4562938,90,4441,4166.666666666667,274.33333333333303
4565983,4570385,90,4402,4166.666666666667,235.33333333333303
4575166,4579598,90,4432,4166.666666666667,265.33333333333303
4582664,4587066,90,4402,4166.666666666667,235.33333333333303
4591837,4596270,90,4433,4166.666666666667,266.33333333333303
4608516,4612917,90,4401,4166.666666666667,234.33333333333303
4615985,4620391,90,4406,4166.666666666667,239.33333333333303
4625196,4629599,90,4403,4166.666666666667,236.33333333333303
4632662,4637068,90,4406,4166.666666666667,239.33333333333303
4641861,4646263,90,4402,4166.666666666667,235.33333333333303
4649334,4653740,90,4406,4166.666666666667,239.33333333333303
4658530,4662931,90,4401,4166.666666666667,234.33333333333303
4666006,4670411,90,4405,4166.666666666667,238.33333333333303
4675207,4679608,90,4401,4166.666666666667,234.33333333333303
4682679,4687112,90,4433,4166.666666666667,266.33333333333303
4691879,4696312,90,4433,4166.666666666667,266.33333333333303
4699353,4703759,90,4406,4166.666666666667,239.33333333333303
4708543,4712944,90,4401,4166.666666666667,234.33333333333303
4716028,4720434,90,4406,4166.666666666667,239.33333333333303
4725218,4729620,90,4402,4166.666666666667,235.33333333333303
4732694,4737100,90,4406,4166.666666666667,239.33333333333303
4741890,4746293,90,4403,4166.666666666667,236.33333333333303
